pdes,full_name,a,e,i,om,w,q,ad,per_y,condition_code,class,H,H_sigma,G,diameter,diameter_sigma,extent,albedo,rot_per,spec_B,spec_T
45,"    45 Eugenia (A857 MA)",2.719269795129995,.08416452350783896,6.605578052394048,147.6001934683468,87.79615292579079,2.49040374853362,2.94813584172637,4.4842173047963,0,MBA,7.5,,0.07,202.327,2.168,,0.045,5.699,C,FC
46,"    46 Hestia (A857 QA)",2.525194782320591,.1723017510121078,2.350036412978603,181.0771634273368,177.3830395148111,2.090099299680114,2.960290264961067,4.01282783404574,0,MBA,8.5,,0.06,131.471,22.151,,0.046,21.040,Xc,P
47,"    47 Aglaja (A857 RA)",2.882273729514804,.1299470041094542,4.974553664525562,3.066451307541134,314.8373122333059,2.507730893340972,3.256816565688636,4.89340360216021,0,MBA,8.1,,0.16,168.174,1.222,,0.082,13.178,B,C
48,"    48 Doris (A857 SA)",3.109514977741711,.07226357123645114,6.547933486070919,183.5526297742236,252.841494009943,2.884810320636861,3.334219634846561,5.48336533056644,0,MBA,7.1,,,216.473,4.757,,0.065,11.89,Ch,CG
49,"    49 Pales (A857 SB)",3.097694327143413,.2213789858165928,3.201814607179424,285.0550388007491,112.9573097517451,2.411929898630591,3.783458755656234,5.45212799570573,0,MBA,7.8,,,166.252,2.166,,0.048,20.705,Ch,CG
50,"    50 Virginia (A857 TA)",2.649431521729688,.2858620914926792,2.837908742363431,173.5208668534536,200.0119475007271,1.892059485661407,3.406803557797968,4.31258085744821,0,MBA,9.2,,,84.074,0.242,,0.050,14.315,Ch,X
51,"    51 Nemausa (A858 BA)",2.364959451368455,.06777107994999751,9.978931641233585,175.9651777257236,2.252285270148142,2.204683595311261,2.525235307425649,3.63700376485054,0,MBA,7.6,,0.08,138.159,0.966,,0.100,7.783,Ch,CU
52,"    52 Europa (A858 CA)",3.094249386815841,.1104419684660897,7.478465151251741,128.6006923858118,343.3664555053685,2.752514393610909,3.435984380020774,5.44303557208806,0,MBA,6.4,,0.18,303.918,3.501,,0.057,5.6304,C,CF
53,"    53 Kalypso (A858 GA)",2.618931682383882,.2048081417894144,5.171678809282962,143.5179367931948,313.4848784050719,2.082553151041414,3.155310213726349,4.23832695849692,0,MBA,8.9,,,97.262,26.598,,0.028,9.036,,XC
54,"    54 Alexandra (A858 RA)",2.71102793760546,.1973025153767862,11.7982178790193,313.2467748871354,345.0504860577232,2.176135306259162,3.245920568951759,4.46384588279791,0,MBA,7.8,,,160.120,1.857,,0.059,7.024,C,C
55,"    55 Pandora (A858 RB)",2.760437589324065,.1432464227653934,7.179404505458811,10.36964280062153,5.385958162912896,2.365014779386267,3.155860399261863,4.58643350297335,0,MBA,7.7,,,84.794,2.501,,0.204,4.8040,X,M
56,"    56 Melete (A857 RB)",2.596709988837031,.2383936922791129,8.080139008221133,192.9749896036798,104.9898127386793,1.977670706820117,3.215749270853945,4.18449810097421,0,MBA,8.5,,,121.333,0.947,,0.057,18.147,Xk,P
57,"    57 Mnemosyne (A859 SA)",3.154342095378849,.1123871761447867,15.20416591969192,199.1679344643028,210.6404029203647,2.79983449468459,3.508849696073107,5.60236486747397,0,MBA,7.0,,,112.59,2.8,,0.2149,25.324,S,S
58,"    58 Concordia (A860 FA)",2.699484163490149,.04259806785494159,5.065948150766325,161.1064811012335,31.12144744754759,2.584491353920455,2.814476973059842,4.43536513503628,0,MBA,9.0,,,106.517,0.741,,0.044,9.895,Ch,C
59,"    59 Elpis (A860 RA)",2.713549604231756,.1187820687415526,8.639914580507524,170.0008695593964,210.8516989627911,2.391228568608287,3.035870639855225,4.4700754100645,0,MBA,8.0,,,165.119,4.506,,0.044,13.671,B,CP
60,"    60 Echo (A860 RB)",2.39211175171103,.1848457385461638,3.600509867086774,191.5465359146285,271.2181042735046,1.949940088281047,2.834283415141013,3.69981832583706,0,MBA,8.5,,0.27,43.218,0.571,,0.373,25.208,S,S
61,"    61 Danae (A860 RC)",2.984005927650858,.1650231293124348,18.20999391242619,333.5718645816929,12.47045295943511,2.491575931583058,3.476435923718657,5.15475139151823,0,MBA,7.5,,,85.937,2.151,,0.203,11.45,S,S
